cluster,n,avg_amount,prop_give,avg_multiplier,avg_pol_views,avg_relig_views,avg_age_level,avg_income_level,avg_relig_attend_level,prop_female,prop_voted_trump,prop_voted_clinton,prop_democrat,prop_republican
0,315,0.444,0.717,0.996,51.184,76.283,2.206,3.254,3.667,0.473,0.492,0.216,0.267,0.454
1,477,0.259,0.488,0.987,69.507,6.66,2.136,3.262,1.447,0.47,0.197,0.537,0.545,0.157
