cluster,n,avg_amount,prop_give,avg_multiplier,avg_pol_views,avg_relig_views,avg_age_level,avg_income_level,avg_relig_attend_level,prop_female,prop_voted_trump,prop_voted_clinton,prop_democrat,prop_republican
0,326,0.416,0.696,1.011,54.58,73.914,2.212,3.276,3.681,0.475,0.497,0.239,0.285,0.429
1,466,0.274,0.498,0.976,73.395,6.582,2.131,3.247,1.416,0.468,0.172,0.584,0.582,0.114
