cluster,n,avg_amount,prop_give,avg_multiplier,avg_pol_views,avg_relig_views,avg_age_level,avg_income_level,avg_relig_attend_level,prop_female,prop_voted_trump,prop_voted_clinton,prop_democrat,prop_republican
0,457,0.256,0.475,0.985,70.858,7.322,2.133,3.243,1.374,0.462,0.16,0.639,0.632,0.112
1,335,0.436,0.722,0.998,55.191,71.075,2.206,3.296,3.555,0.484,0.525,0.233,0.299,0.451
