cluster,n,avg_amount,prop_give,avg_multiplier,avg_pol_views,avg_relig_views,avg_age_level,avg_income_level,avg_relig_attend_level,prop_female,prop_voted_trump,prop_voted_clinton,prop_democrat,prop_republican
0,597,0.292,0.516,0.985,67.764,19.507,2.104,3.226,1.245,0.466,0.097,0.765,0.764,0.07
1,195,0.454,0.774,1.007,52.585,76.713,2.349,3.308,3.667,0.487,0.508,0.21,0.282,0.436
