,mean_mode,knn_k5,knn_k10,mice1,mice2
mean_mode,1.0,0.41379582766756884,0.5582074373840926,0.47969041493727954,0.44282587568944315
knn_k5,0.41379582766756884,1.0,0.668507890179807,0.42983815600923425,0.4333030794445168
knn_k10,0.5582074373840926,0.668507890179807,1.0,0.4627485801685254,0.4665892626659217
mice1,0.47969041493727954,0.42983815600923425,0.4627485801685254,1.0,0.4396938052303501
mice2,0.44282587568944315,0.4333030794445168,0.4665892626659217,0.4396938052303501,1.0
