cluster,n,avg_amount,prop_give,avg_multiplier,avg_pol_views,avg_relig_views,avg_age_level,avg_income_level,avg_relig_attend_level,prop_female,prop_voted_trump,prop_voted_clinton,prop_democrat,prop_republican
0,204,0.44,0.76,1.024,52.299,74.495,2.324,3.324,3.613,0.485,0.495,0.216,0.275,0.436
1,305,0.264,0.502,1.004,72.197,6.482,2.22,3.305,1.41,0.489,0.174,0.58,0.59,0.121
