cluster,n,avg_amount,prop_give,avg_multiplier,avg_pol_views,avg_relig_views,avg_age_level,avg_income_level,avg_relig_attend_level,prop_female,prop_voted_trump,prop_voted_clinton,prop_democrat,prop_republican
0,293,0.473,0.765,1.015,55.77,69.49,2.259,3.304,3.471,0.498,0.522,0.246,0.3,0.444
1,499,0.25,0.471,0.976,69.969,8.305,2.108,3.238,1.289,0.455,0.16,0.661,0.683,0.11
