WorkTimeInSeconds...1,multiplier,amount,age,gender,income,WorkTimeInSeconds...7,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",batch
84,1.34,0.2,30-39,Male,"$80,000 - $99,999",53,90,0,Hillary Clinton,PA,Democrat,Never,g
1348,1.51,0.4,30-39,Male,"$60,000 - $79,999",45,10,61,Donald Trump,GA,Republican,Once a week,g
91,1.91,0.5,30-39,Male,"$40,000 - $59,999",131,40,80,Someone else,OR,Independent,More than once a week,g
375,0.59,0,30-39,Male,"$40,000 - $59,999",1676,73,63,Donald Trump,OH,Democrat,Once a week,g
94,1.14,0.25,30-39,Male,"$80,000 - $99,999",48,95,94,Hillary Clinton,OK,Democrat,Once a week,g
130,0.9,0.4,30-39,Female,"$80,000 - $99,999",64,9,92,Donald Trump,TX,Republican,Once a week,g
49,0.32,0,30-39,Female,"$80,000 - $99,999",39,1,0,Donald Trump,FL,Republican,Never,g
164,0.86,0,50-59,Female,"$80,000 - $99,999",131,9,71,Donald Trump,PA,Republican,Seldom,g
296,1.16,0.4,60-69,Female,"$20,000 - $39,999",30,20,72,Hillary Clinton,KY,Democrat,More than once a week,g
63,1.92,0,18-29,Male,"$80,000 - $99,999",45,95,0,Hillary Clinton,CO,Independent,Never,g
616,0.72,1,30-39,Female,"Under $20,000",28,71,0,Hillary Clinton,GA,Democrat,Never,g
71,1.66,0,18-29,Female,"Over $100,000",30,100,0,Hillary Clinton,TX,Democrat,Never,g
451,0.71,0,18-29,Other / Prefer not to state,"Under $20,000",1359,77,5,Donald Trump,WA,Independent,Never,g
317,1.32,0,18-29,Female,"$60,000 - $79,999",133,93,11,Hillary Clinton,CT,Democrat,Seldom,g
108,1.54,0.5,18-29,Female,"$20,000 - $39,999",40,9,0,Didn't vote,PA,Republican,Never,g
88,1.82,1,30-39,Female,"$60,000 - $79,999",36,91,0,Hillary Clinton,WI,Democrat,Never,g
46,1.51,0,30-39,Female,"Under $20,000",25,51,69,Didn't vote,SC,Independent,A few times a year,g
226,0.13,1,18-29,Male,"Over $100,000",52,19,53,Donald Trump,FL,Republican,Once a week,g
101,1.8,0.2,18-29,Female,"Over $100,000",38,21,65,Donald Trump,FL,Republican,A few times a year,g
116,0.02,0.5,18-29,Female,"$40,000 - $59,999",131,51,51,Donald Trump,TX,Republican,Seldom,g
